English,Hindi,Kaithi
She's not a doctor,वह डॉक्टर नहीं है।,𑂫𑂯 𑂙ॉ𑂍𑂹𑂗𑂩 𑂢𑂯𑂲𑂁 𑂯𑂶।
That guy annoys me,मुझे उस आदमी से चिढ़ आती है।,𑂧𑂳𑂕𑂵 𑂇𑂮 𑂄𑂠𑂧𑂲 𑂮𑂵 𑂒𑂱𑂛़ 𑂄𑂞𑂲 𑂯𑂶।
The batter was out,बॅटर आऊट हो गया था।,𑂥ॅ𑂗𑂩 𑂄𑂈𑂗 𑂯𑂷 𑂏𑂨𑂰 𑂟𑂰।
The crow flew away,कौआ उड़ गया।,𑂍𑂸𑂄 𑂇𑂙़ 𑂏𑂨𑂰।
The power went out,बिजली चली गई।,𑂥𑂱𑂔𑂪𑂲 𑂒𑂪𑂲 𑂏𑂆।
These dogs are big,ये कुत्ते बड़े हैं।,𑂨𑂵 𑂍𑂳𑂞𑂹𑂞𑂵 𑂥𑂙़𑂵 𑂯𑂶𑂁।
This is Mary's dog,यह मेरी का कुत्ता है।,𑂨𑂯 𑂧𑂵𑂩𑂲 𑂍𑂰 𑂍𑂳𑂞𑂹𑂞𑂰 𑂯𑂶।
Was his story true,उसकी कहानी सच्ची थी क्या?,𑂇𑂮𑂍𑂲 𑂍𑂯𑂰𑂢𑂲 𑂮𑂒𑂹𑂒𑂲 𑂟𑂲 𑂍𑂹𑂨𑂰?
We are against war,हम जंग के ख़िलाफ़ हैं।,𑂯𑂧 𑂔𑂁𑂏 𑂍𑂵 𑂎़𑂱𑂪𑂰𑂤़ 𑂯𑂶𑂁।
We are against war,हम युद्ध का विरोध करते हैं।,𑂯𑂧 𑂨𑂳𑂠𑂹𑂡 𑂍𑂰 𑂫𑂱𑂩𑂷𑂡 𑂍𑂩𑂞𑂵 𑂯𑂶𑂁।
We enjoyed skating,हमे स्केटिंग करके मज़ा आया।,𑂯𑂧𑂵 𑂮𑂹𑂍𑂵𑂗𑂱𑂁𑂏 𑂍𑂩𑂍𑂵 𑂧𑂔़𑂰 𑂄𑂨𑂰।
We were in a hurry,हम जल्दी में थे।,𑂯𑂧 𑂔𑂪𑂹𑂠𑂲 𑂧𑂵𑂁 𑂟𑂵।
We were very tired,हम बहुत थक चुके थे।,𑂯𑂧 𑂥𑂯𑂳𑂞 𑂟𑂍 𑂒𑂳𑂍𑂵 𑂟𑂵।
We're good friends,हम अच्छे दोस्त हैं।,𑂯𑂧 𑂃𑂒𑂹𑂓𑂵 𑂠𑂷𑂮𑂹𑂞 𑂯𑂶𑂁।
What a big pumpkin,कितना बड़ा कद्दू है!,𑂍𑂱𑂞𑂢𑂰 𑂥𑂙़𑂰 𑂍𑂠𑂹𑂠𑂴 𑂯𑂶!
What's the problem,मुश्किल क्या है?,𑂧𑂳𑂬𑂹𑂍𑂱𑂪 𑂍𑂹𑂨𑂰 𑂯𑂶?
When does it begin,शुरू कब होता है?,𑂬𑂳𑂩𑂴 𑂍𑂥 𑂯𑂷𑂞𑂰 𑂯𑂶?
Where are the kids,बच्चे कहाँ गए?,𑂥𑂒𑂹𑂒𑂵 𑂍𑂯𑂰𑂀 𑂏𑂉?
Where is the beach,समुद्र तट कहां है?,𑂮𑂧𑂳𑂠𑂹𑂩 𑂞𑂗 𑂍𑂯𑂰𑂁 𑂯𑂶?
Which dog is yours,तुम्हारा कुत्ता कौनसा है?,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂰 𑂍𑂳𑂞𑂹𑂞𑂰 𑂍𑂸𑂢𑂮𑂰 𑂯𑂶?
Who broke the vase,गुलदान को किसने तोड़ दिया?,𑂏𑂳𑂪𑂠𑂰𑂢 𑂍𑂷 𑂍𑂱𑂮𑂢𑂵 𑂞𑂷𑂙़ 𑂠𑂱𑂨𑂰?
Who made this cake,यह केक किसने बनाया है?,𑂨𑂯 𑂍𑂵𑂍 𑂍𑂱𑂮𑂢𑂵 𑂥𑂢𑂰𑂨𑂰 𑂯𑂶?
Who's at the wheel,गाड़ी कौन चला रहा है?,𑂏𑂰𑂙़𑂲 𑂍𑂸𑂢 𑂒𑂪𑂰 𑂩𑂯𑂰 𑂯𑂶?
Whose book is this,यह किसकी किताब है?,𑂨𑂯 𑂍𑂱𑂮𑂍𑂲 𑂍𑂱𑂞𑂰𑂥 𑂯𑂶?
You may use my pen,तुम मेरी कलम इस्तेमाल कर सकते हो।,𑂞𑂳𑂧 𑂧𑂵𑂩𑂲 𑂍𑂪𑂧 𑂅𑂮𑂹𑂞𑂵𑂧𑂰𑂪 𑂍𑂩 𑂮𑂍𑂞𑂵 𑂯𑂷।
Answer my questions,मेरे सवालों का जवाब दो।,𑂧𑂵𑂩𑂵 𑂮𑂫𑂰𑂪𑂷𑂁 𑂍𑂰 𑂔𑂫𑂰𑂥 𑂠𑂷।
Are they in the gym,वे जिमखाने में हैं क्या?,𑂫𑂵 𑂔𑂱𑂧𑂎𑂰𑂢𑂵 𑂧𑂵𑂁 𑂯𑂶𑂁 𑂍𑂹𑂨𑂰?
Can you drive a car,तुम्हें गाड़ी चलाना आता है क्या?,𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂏𑂰𑂙़𑂲 𑂒𑂪𑂰𑂢𑂰 𑂄𑂞𑂰 𑂯𑂶 𑂍𑂹𑂨𑂰?
Can you drive a car,तुम गाड़ी चला सकते हो क्या?,𑂞𑂳𑂧 𑂏𑂰𑂙़𑂲 𑂒𑂪𑂰 𑂮𑂍𑂞𑂵 𑂯𑂷 𑂍𑂹𑂨𑂰?
Could you sign here,यहाँ हस्ताक्षर कर सकते हैं क्या?,𑂨𑂯𑂰𑂀 𑂯𑂮𑂹𑂞𑂰𑂍𑂹𑂭𑂩 𑂍𑂩 𑂮𑂍𑂞𑂵 𑂯𑂶𑂁 𑂍𑂹𑂨𑂰?
Everybody likes her,उसे सब पसंद करते हैं।,𑂇𑂮𑂵 𑂮𑂥 𑂣𑂮𑂁𑂠 𑂍𑂩𑂞𑂵 𑂯𑂶𑂁।
Everybody likes him,उसे सब पसंद करते हैं।,𑂇𑂮𑂵 𑂮𑂥 𑂣𑂮𑂁𑂠 𑂍𑂩𑂞𑂵 𑂯𑂶𑂁।
"Excuse me, I'm lost","माफ़ कीजिएगा, मैं खो गई हूँ।","𑂧𑂰𑂤़ 𑂍𑂲𑂔𑂱𑂉𑂏𑂰, 𑂧𑂶𑂁 𑂎𑂷 𑂏𑂆 𑂯𑂴𑂀।"
He called me a taxi,उसने मेरे लिए टेक्सी बुलवाई।,𑂇𑂮𑂢𑂵 𑂧𑂵𑂩𑂵 𑂪𑂱𑂉 𑂗𑂵𑂍𑂹𑂮𑂲 𑂥𑂳𑂪𑂫𑂰𑂆।
He felt very lonely,उसे बहुत अकेलापन महसूस हुआ।,𑂇𑂮𑂵 𑂥𑂯𑂳𑂞 𑂃𑂍𑂵𑂪𑂰𑂣𑂢 𑂧𑂯𑂮𑂴𑂮 𑂯𑂳𑂄।
He lives next to me,वह मेरे पड़ोस में रहता है।,𑂫𑂯 𑂧𑂵𑂩𑂵 𑂣𑂙़𑂷𑂮 𑂧𑂵𑂁 𑂩𑂯𑂞𑂰 𑂯𑂶।
He looks very tired,वह बहुत थका-हारा सा लगता है।,𑂫𑂯 𑂥𑂯𑂳𑂞 𑂟𑂍𑂰-𑂯𑂰𑂩𑂰 𑂮𑂰 𑂪𑂏𑂞𑂰 𑂯𑂶।
He seems to be rich,वह दिखने में बहुत अमीर लगता है।,𑂫𑂯 𑂠𑂱𑂎𑂢𑂵 𑂧𑂵𑂁 𑂥𑂯𑂳𑂞 𑂃𑂧𑂲𑂩 𑂪𑂏𑂞𑂰 𑂯𑂶।
He'll get well soon,वह जल्द ही ठीक हो जाएगा।,𑂫𑂯 𑂔𑂪𑂹𑂠 𑂯𑂲 𑂘𑂲𑂍 𑂯𑂷 𑂔𑂰𑂉𑂏𑂰।
He's in a bad state,उसकी हालत बुरी है।,𑂇𑂮𑂍𑂲 𑂯𑂰𑂪𑂞 𑂥𑂳𑂩𑂲 𑂯𑂶।
How about the taste,और स्वाद कैसा है?,𑂌𑂩 𑂮𑂹𑂫𑂰𑂠 𑂍𑂶𑂮𑂰 𑂯𑂶?
How did you make it,तुमने कैसे बनाया?,𑂞𑂳𑂧𑂢𑂵 𑂍𑂶𑂮𑂵 𑂥𑂢𑂰𑂨𑂰?
I am not from India,मैं भारत से नहीं हूँ।,𑂧𑂶𑂁 𑂦𑂰𑂩𑂞 𑂮𑂵 𑂢𑂯𑂲𑂁 𑂯𑂴𑂀।
I am reading a book,मैं किताब पढ़ रही हूँ।,𑂧𑂶𑂁 𑂍𑂱𑂞𑂰𑂥 𑂣ढ़ 𑂩𑂯𑂲 𑂯𑂴𑂀।
I bought an old car,मैंने पुरानी गाड़ी खरीदी।,𑂧𑂶𑂁𑂢𑂵 𑂣𑂳𑂩𑂰𑂢𑂲 𑂏𑂰𑂙़𑂲 𑂎𑂩𑂲𑂠𑂲।
I can teach English,मैं अंग्रेज़ी पढ़ा सकता हूँ।,𑂧𑂶𑂁 𑂃𑂁𑂏𑂹𑂩𑂵𑂔़𑂲 𑂣𑂛़𑂰 𑂮𑂍𑂞𑂰 𑂯𑂴𑂀।
I continued singing,मैं गाता चला गया।,𑂧𑂶𑂁 𑂏𑂰𑂞𑂰 𑂒𑂪𑂰 𑂏𑂨𑂰।
I do not understand,मैं समझा नहीं।,𑂧𑂶𑂁 𑂮𑂧𑂕𑂰 𑂢𑂯𑂲𑂁।
I don't like summer,मुझे गर्मी का मौसम पसंद नहीं है।,𑂧𑂳𑂕𑂵 𑂏𑂩𑂹𑂧𑂲 𑂍𑂰 𑂧𑂸𑂮𑂧 𑂣𑂮𑂁𑂠 𑂢𑂯𑂲𑂁 𑂯𑂶।
I forgot to ask him,मैं उससे पूछना भूल गया।,𑂧𑂶𑂁 𑂇𑂮𑂮𑂵 𑂣𑂴𑂓𑂢𑂰 𑂦𑂴𑂪 𑂏𑂨𑂰।
I hate taking risks,मुझे जोखिम लेना पसंद नहीं है।,𑂧𑂳𑂕𑂵 𑂔𑂷𑂎𑂱𑂧 𑂪𑂵𑂢𑂰 𑂣𑂮𑂁𑂠 𑂢𑂯𑂲𑂁 𑂯𑂶।
I haven't eaten yet,मैंने अभी तक नहीं खाया है।,𑂧𑂶𑂁𑂢𑂵 𑂃𑂦𑂲 𑂞𑂍 𑂢𑂯𑂲𑂁 𑂎𑂰𑂨𑂰 𑂯𑂶।
I know both of them,मैं दोनो को जानता था।,𑂧𑂶𑂁 𑂠𑂷𑂢𑂷 𑂍𑂷 𑂔𑂰𑂢𑂞𑂰 𑂟𑂰।
I know what that is,मुझे पता है कि वह चीज़ क्या है।,𑂧𑂳𑂕𑂵 𑂣𑂞𑂰 𑂯𑂶 𑂍𑂱 𑂫𑂯 𑂒𑂲𑂔़ 𑂍𑂹𑂨𑂰 𑂯𑂶।
I tried to tell you,मैंने तुम्हे बताने की कोशिश करी थी।,𑂧𑂶𑂁𑂢𑂵 𑂞𑂳𑂧𑂹𑂯𑂵 𑂥𑂞𑂰𑂢𑂵 𑂍𑂲 𑂍𑂷𑂬𑂱𑂬 𑂍𑂩𑂲 𑂟𑂲।
I want to marry her,मैं उससे शादी करना चाहता हूँ।,𑂧𑂶𑂁 𑂇𑂮𑂮𑂵 𑂬𑂰𑂠𑂲 𑂍𑂩𑂢𑂰 𑂒𑂰𑂯𑂞𑂰 𑂯𑂴𑂀।
I wanted her to win,मैं चाहता था कि वह जीत जाए।,𑂧𑂶𑂁 𑂒𑂰𑂯𑂞𑂰 𑂟𑂰 𑂍𑂱 𑂫𑂯 𑂔𑂲𑂞 𑂔𑂰𑂉।
I'd like a city map,मुझे शहर का नक्शा चाहिए।,𑂧𑂳𑂕𑂵 𑂬𑂯𑂩 𑂍𑂰 𑂢𑂍𑂹𑂬𑂰 𑂒𑂰𑂯𑂱𑂉।
I'd like to see her,मैं उसे देखना चाहूँगा।,𑂧𑂶𑂁 𑂇𑂮𑂵 𑂠𑂵𑂎𑂢𑂰 𑂒𑂰𑂯𑂴𑂀𑂏𑂰।
I'd like to see her,मैं उससे मिलना चाहूँगा।,𑂧𑂶𑂁 𑂇𑂮𑂮𑂵 𑂧𑂱𑂪𑂢𑂰 𑂒𑂰𑂯𑂴𑂀𑂏𑂰।
I'll be back at ten,मैं दस बजे वापस आऊँगा।,𑂧𑂶𑂁 𑂠𑂮 𑂥𑂔𑂵 𑂫𑂰𑂣𑂮 𑂄𑂈𑂀𑂏𑂰।
I'll bring the wine,मैं शराब लाता हूँ।,𑂧𑂶𑂁 𑂬𑂩𑂰𑂥 𑂪𑂰𑂞𑂰 𑂯𑂴𑂀।
I'll bring the wine,मैं शराब लाऊँगा।,𑂧𑂶𑂁 𑂬𑂩𑂰𑂥 𑂪𑂰𑂈𑂀𑂏𑂰।
I'll make you happy,मैं तुम्हें खुश करूँगा।,𑂧𑂶𑂁 𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂎𑂳𑂬 𑂍𑂩𑂴𑂀𑂏𑂰।
I've already called,मैंने फ़ोन कर लिया है।,𑂧𑂶𑂁𑂢𑂵 𑂤़𑂷𑂢 𑂍𑂩 𑂪𑂱𑂨𑂰 𑂯𑂶।
I've lost my ticket,मेरी टिकट खो गई है।,𑂧𑂵𑂩𑂲 𑂗𑂱𑂍𑂗 𑂎𑂷 𑂏𑂆 𑂯𑂶।
Let's play baseball,चलो बेसबॉल खेलतें हैं।,𑂒𑂪𑂷 𑂥𑂵𑂮𑂥ॉ𑂪 𑂎𑂵𑂪𑂞𑂵𑂁 𑂯𑂶𑂁।
Must I write in ink,मुझे स्याही से ही लिखना होगा?,𑂧𑂳𑂕𑂵 𑂮𑂹𑂨𑂰𑂯𑂲 𑂮𑂵 𑂯𑂲 𑂪𑂱𑂎𑂢𑂰 𑂯𑂷𑂏𑂰?
My family loved Tom,मेरे परिवार को टॉम पसंद था।,𑂧𑂵𑂩𑂵 𑂣𑂩𑂱𑂫𑂰𑂩 𑂍𑂷 𑂗ॉ𑂧 𑂣𑂮𑂁𑂠 𑂟𑂰।
My money was stolen,मेरे पैसे चोरी हो गए।,𑂧𑂵𑂩𑂵 𑂣𑂶𑂮𑂵 𑂒𑂷𑂩𑂲 𑂯𑂷 𑂏𑂉।
My sister has a job,मेरी बहन के पास नौकरी है।,𑂧𑂵𑂩𑂲 𑂥𑂯𑂢 𑂍𑂵 𑂣𑂰𑂮 𑂢𑂸𑂍𑂩𑂲 𑂯𑂶।
She kept on working,वह काम करती रही।,𑂫𑂯 𑂍𑂰𑂧 𑂍𑂩𑂞𑂲 𑂩𑂯𑂲।
She pulled my shirt,उसने मेरी कमीज़ खींची।,𑂇𑂮𑂢𑂵 𑂧𑂵𑂩𑂲 𑂍𑂧𑂲𑂔़ 𑂎𑂲𑂁𑂒𑂲।
That is not a tiger,वह बाघ नहीं है।,𑂫𑂯 𑂥𑂰𑂐 𑂢𑂯𑂲𑂁 𑂯𑂶।
That was my mistake,वह मेरी ग़लती थी।,𑂫𑂯 𑂧𑂵𑂩𑂲 𑂏़𑂪𑂞𑂲 𑂟𑂲।
The skies are clear,आसमान साफ़ है।,𑂄𑂮𑂧𑂰𑂢 𑂮𑂰𑂤़ 𑂯𑂶।
The trees are green,पेड़ हरे हैं।,𑂣𑂵𑂙़ 𑂯𑂩𑂵 𑂯𑂶𑂁।
These are our books,ये हमारी किताबें हैं।,𑂨𑂵 𑂯𑂧𑂰𑂩𑂲 𑂍𑂱𑂞𑂰𑂥𑂵𑂁 𑂯𑂶𑂁।
This is what I need,यह वही चीज़ है जिसकी मुझे ज़रूरत है।,𑂨𑂯 𑂫𑂯𑂲 𑂒𑂲𑂔़ 𑂯𑂶 𑂔𑂱𑂮𑂍𑂲 𑂧𑂳𑂕𑂵 𑂔़𑂩𑂴𑂩𑂞 𑂯𑂶।
Watch your language,ज़बान सम्भाल के बात करो।,𑂔़𑂥𑂰𑂢 𑂮𑂧𑂹𑂦𑂰𑂪 𑂍𑂵 𑂥𑂰𑂞 𑂍𑂩𑂷।
We are good friends,हम अच्छे दोस्त हैं।,𑂯𑂧 𑂃𑂒𑂹𑂓𑂵 𑂠𑂷𑂮𑂹𑂞 𑂯𑂶𑂁।
We must pay the tax,हमें टैक्स भरना पड़ेगा।,𑂯𑂧𑂵𑂁 𑂗𑂶𑂍𑂹𑂮 𑂦𑂩𑂢𑂰 𑂣𑂙़𑂵𑂏𑂰।
What did you answer,तुमने क्या जवाब दिया?,𑂞𑂳𑂧𑂢𑂵 𑂍𑂹𑂨𑂰 𑂔𑂫𑂰𑂥 𑂠𑂱𑂨𑂰?
What is in this box,इस डब्बे में क्या है?,𑂅𑂮 𑂙𑂥𑂹𑂥𑂵 𑂧𑂵𑂁 𑂍𑂹𑂨𑂰 𑂯𑂶?
What were you doing,तुम क्या कर रहे थे?,𑂞𑂳𑂧 𑂍𑂹𑂨𑂰 𑂍𑂩 𑂩𑂯𑂵 𑂟𑂵?
Where are you going,तुम कहाँ जा रहे हो?,𑂞𑂳𑂧 𑂍𑂯𑂰𑂀 𑂔𑂰 𑂩𑂯𑂵 𑂯𑂷?
Where are you going,आप कहाँ जा रहे हैं?,𑂄𑂣 𑂍𑂯𑂰𑂀 𑂔𑂰 𑂩𑂯𑂵 𑂯𑂶𑂁?
Where's the airport,हवाई अड्डा कहाँ पर है?,𑂯𑂫𑂰𑂆 𑂃𑂙𑂹𑂙𑂰 𑂍𑂯𑂰𑂀 𑂣𑂩 𑂯𑂶?
Which book is yours,तुम्हारी किताब कौनसी है?,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂲 𑂍𑂱𑂞𑂰𑂥 𑂍𑂸𑂢𑂮𑂲 𑂯𑂶?
Who is your teacher,तुम्हारे टीचर कौन हैं?,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂗𑂲𑂒𑂩 𑂍𑂸𑂢 𑂯𑂶𑂁?
Why didn't you come,तुम क्यों नहीं आए?,𑂞𑂳𑂧 𑂍𑂹𑂨𑂷𑂁 𑂢𑂯𑂲𑂁 𑂄𑂉?
Will you go with us,तुम हमारे साथ आओगे क्या?,𑂞𑂳𑂧 𑂯𑂧𑂰𑂩𑂵 𑂮𑂰𑂟 𑂄𑂋𑂏𑂵 𑂍𑂹𑂨𑂰?
Winter is coming on,सर्दी आ रही है।,𑂮𑂩𑂹𑂠𑂲 𑂄 𑂩𑂯𑂲 𑂯𑂶।
You are at it again,तुम फिरसे चालू हो गए।,𑂞𑂳𑂧 𑂤𑂱𑂩𑂮𑂵 𑂒𑂰𑂪𑂴 𑂯𑂷 𑂏𑂉।
You may rely on him,तुम उसपर भरोसा कर सकते हो।,𑂞𑂳𑂧 𑂇𑂮𑂣𑂩 𑂦𑂩𑂷𑂮𑂰 𑂍𑂩 𑂮𑂍𑂞𑂵 𑂯𑂷।
You must forgive me,तुम्हे मुझे माफ़ करना होगा।,𑂞𑂳𑂧𑂹𑂯𑂵 𑂧𑂳𑂕𑂵 𑂧𑂰𑂤़ 𑂍𑂩𑂢𑂰 𑂯𑂷𑂏𑂰।
You must forgive me,आपको मुझे क्षमा करना होगा।,𑂄𑂣𑂍𑂷 𑂧𑂳𑂕𑂵 𑂍𑂹𑂭𑂧𑂰 𑂍𑂩𑂢𑂰 𑂯𑂷𑂏𑂰।
You must study hard,तुम्हें मन लगाकर पढ़ना होगा।,𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂧𑂢 𑂪𑂏𑂰𑂍𑂩 𑂣𑂛़𑂢𑂰 𑂯𑂷𑂏𑂰।
You're a life saver,तुमने मेरी जान बचाली।,𑂞𑂳𑂧𑂢𑂵 𑂧𑂵𑂩𑂲 𑂔𑂰𑂢 𑂥𑂒𑂰𑂪𑂲।
Didn't I tell you so,मैंने तुम्हें बताया नहीं था?,𑂧𑂶𑂁𑂢𑂵 𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂥𑂞𑂰𑂨𑂰 𑂢𑂯𑂲𑂁 𑂟𑂰?
Do you have a pencil,तुम्हारे पास पेनसिल है क्या?,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂣𑂰𑂮 𑂣𑂵𑂢𑂮𑂱𑂪 𑂯𑂶 𑂍𑂹𑂨𑂰?
Do you live in Tokyo,तुम टोक्यो में रहते हो क्या?,𑂞𑂳𑂧 𑂗𑂷𑂍𑂹𑂨𑂷 𑂧𑂵𑂁 𑂩𑂯𑂞𑂵 𑂯𑂷 𑂍𑂹𑂨𑂰?
Do you speak English,क्या आप अंग्रेज़ी बोलते हैं?,𑂍𑂹𑂨𑂰 𑂄𑂣 𑂃𑂁𑂏𑂹𑂩𑂵𑂔़𑂲 𑂥𑂷𑂪𑂞𑂵 𑂯𑂶𑂁?
Don't open your book,अपनी किताब मत खोलो।,𑂃𑂣𑂢𑂲 𑂍𑂱𑂞𑂰𑂥 𑂧𑂞 𑂎𑂷𑂪𑂷।
Don't worry about me,मेरी चिंता मत करो।,𑂧𑂵𑂩𑂲 𑂒𑂱𑂁𑂞𑂰 𑂧𑂞 𑂍𑂩𑂷।
Don't worry about us,हमारी चिंता मत करो।,𑂯𑂧𑂰𑂩𑂲 𑂒𑂱𑂁𑂞𑂰 𑂧𑂞 𑂍𑂩𑂷।
Fish live in the sea,मछलियाँ समुंदर में रहतीं हैं।,𑂧𑂓𑂪𑂱𑂨𑂰𑂀 𑂮𑂧𑂳𑂁𑂠𑂩 𑂧𑂵𑂁 𑂩𑂯𑂞𑂲𑂁 𑂯𑂶𑂁।
Go tell him yourself,उसको अपने-आप जाकर बताओ।,𑂇𑂮𑂍𑂷 𑂃𑂣𑂢𑂵-𑂄𑂣 𑂔𑂰𑂍𑂩 𑂥𑂞𑂰𑂋।
Have you been abroad,आप विदेश गए हुए हैं क्या?,𑂄𑂣 𑂫𑂱𑂠𑂵𑂬 𑂏𑂉 𑂯𑂳𑂉 𑂯𑂶𑂁 𑂍𑂹𑂨𑂰?
He envied my success,उसको मेरी कामयाबी से जलन थी।,𑂇𑂮𑂍𑂷 𑂧𑂵𑂩𑂲 𑂍𑂰𑂧𑂨𑂰𑂥𑂲 𑂮𑂵 𑂔𑂪𑂢 𑂟𑂲।
He got angry with me,वह मुझपर गुस्सा हो गया।,𑂫𑂯 𑂧𑂳𑂕𑂣𑂩 𑂏𑂳𑂮𑂹𑂮𑂰 𑂯𑂷 𑂏𑂨𑂰।
He has been to India,वह भारत गया हुआ है।,𑂫𑂯 𑂦𑂰𑂩𑂞 𑂏𑂨𑂰 𑂯𑂳𑂄 𑂯𑂶।
He is angry with you,वह तुमसे नाराज़ है।,𑂫𑂯 𑂞𑂳𑂧𑂮𑂵 𑂢𑂰𑂩𑂰𑂔़ 𑂯𑂶।
He is hard to please,उसको खुश करना बहुत मुश्किल है।,𑂇𑂮𑂍𑂷 𑂎𑂳𑂬 𑂍𑂩𑂢𑂰 𑂥𑂯𑂳𑂞 𑂧𑂳𑂬𑂹𑂍𑂱𑂪 𑂯𑂶।
He is in poor health,उसकी हालत बुरी है।,𑂇𑂮𑂍𑂲 𑂯𑂰𑂪𑂞 𑂥𑂳𑂩𑂲 𑂯𑂶।
He lent me two books,उसने मुझे दो किताबें उधार दीं।,𑂇𑂮𑂢𑂵 𑂧𑂳𑂕𑂵 𑂠𑂷 𑂍𑂱𑂞𑂰𑂥𑂵𑂁 𑂇𑂡𑂰𑂩 𑂠𑂲𑂁।
He made up an excuse,उसने कोई बहाना बना लिया।,𑂇𑂮𑂢𑂵 𑂍𑂷𑂆 𑂥𑂯𑂰𑂢𑂰 𑂥𑂢𑂰 𑂪𑂱𑂨𑂰।
He married for money,उसने पैसों के लिए शादी की।,𑂇𑂮𑂢𑂵 𑂣𑂶𑂮𑂷𑂁 𑂍𑂵 𑂪𑂱𑂉 𑂬𑂰𑂠𑂲 𑂍𑂲।
He saw a pretty girl,उसने एक सुंदर लड़की को देखा।,𑂇𑂮𑂢𑂵 𑂉𑂍 𑂮𑂳𑂁𑂠𑂩 𑂪𑂙़𑂍𑂲 𑂍𑂷 𑂠𑂵𑂎𑂰।
He wanted to succeed,वह कामयाब होना चाहता था।,𑂫𑂯 𑂍𑂰𑂧𑂨𑂰𑂥 𑂯𑂷𑂢𑂰 𑂒𑂰𑂯𑂞𑂰 𑂟𑂰।
How's your job going,तुम्हारी नौकरी कैसी चल रही है?,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂲 𑂢𑂸𑂍𑂩𑂲 𑂍𑂶𑂮𑂲 𑂒𑂪 𑂩𑂯𑂲 𑂯𑂶?
I agree to this plan,मैं इस योजना से सहमत हूँ।,𑂧𑂶𑂁 𑂅𑂮 𑂨𑂷𑂔𑂢𑂰 𑂮𑂵 𑂮𑂯𑂧𑂞 𑂯𑂴𑂀।
I am a stranger here,मुझे यहाँ पर अजनबी के जैसा महसूस होता है।,𑂧𑂳𑂕𑂵 𑂨𑂯𑂰𑂀 𑂣𑂩 𑂃𑂔𑂢𑂥𑂲 𑂍𑂵 𑂔𑂶𑂮𑂰 𑂧𑂯𑂮𑂴𑂮 𑂯𑂷𑂞𑂰 𑂯𑂶।
I am counting on you,मैं तुमपर भरोसा कर रहा हूँ।,𑂧𑂶𑂁 𑂞𑂳𑂧𑂣𑂩 𑂦𑂩𑂷𑂮𑂰 𑂍𑂩 𑂩𑂯𑂰 𑂯𑂴𑂀।
I am eating an apple,मैं सेव खा रहा हूँ ।,𑂧𑂶𑂁 𑂮𑂵𑂫 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀 ।
I am eating an apple,मैं सेव खा रही हूँ ।,𑂧𑂶𑂁 𑂮𑂵𑂫 𑂎𑂰 𑂩𑂯𑂲 𑂯𑂴𑂀 ।
I don't mind waiting,मुझे प्रतीक्षा करने में कोई आपत्ती नहीं है।,𑂧𑂳𑂕𑂵 𑂣𑂹𑂩𑂞𑂲𑂍𑂹𑂭𑂰 𑂍𑂩𑂢𑂵 𑂧𑂵𑂁 𑂍𑂷𑂆 𑂄𑂣𑂞𑂹𑂞𑂲 𑂢𑂯𑂲𑂁 𑂯𑂶।
I expect him to come,मुझे लगता है वह आएगा।,𑂧𑂳𑂕𑂵 𑂪𑂏𑂞𑂰 𑂯𑂶 𑂫𑂯 𑂄𑂉𑂏𑂰।
I feel like vomiting,मुझे उल्टी आ रही है।,𑂧𑂳𑂕𑂵 𑂇𑂪𑂹𑂗𑂲 𑂄 𑂩𑂯𑂲 𑂯𑂶।
I have a few friends,मेरे पास कुछ दोस्त हैं।,𑂧𑂵𑂩𑂵 𑂣𑂰𑂮 𑂍𑂳𑂓 𑂠𑂷𑂮𑂹𑂞 𑂯𑂶𑂁।
I have a stomachache,मुझे पेट में दर्द हो रहा है।,𑂧𑂳𑂕𑂵 𑂣𑂵𑂗 𑂧𑂵𑂁 𑂠𑂩𑂹𑂠 𑂯𑂷 𑂩𑂯𑂰 𑂯𑂶।
I have back problems,मुझे पीठ की तकलीफ है I,𑂧𑂳𑂕𑂵 𑂣𑂲𑂘 𑂍𑂲 𑂞𑂍𑂪𑂲𑂤 𑂯𑂶 I
I have been to Kyoto,मैं क्योटो गया हुआ हूँ।,𑂧𑂶𑂁 𑂍𑂹𑂨𑂷𑂗𑂷 𑂏𑂨𑂰 𑂯𑂳𑂄 𑂯𑂴𑂀।
I have caught a cold,मुझे ज़ुकाम हो गया है।,𑂧𑂳𑂕𑂵 𑂔़𑂳𑂍𑂰𑂧 𑂯𑂷 𑂏𑂨𑂰 𑂯𑂶।
